PKTESTK6,Time,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback,,RHOPK5, ,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback
gen=303,(s),(/sec),,(MW),(MW-s),,,($),,,(s),(/sec),,(MW),(MW-s),,,($)
npg=1000,1.00E-07,3.46E+11,1.73E+04,1.01E-05,1.00E-12,2.53E-05,0.00E+00,0.00E+00,,,1.00E-07,3.46E+11,1.73E+04,1.01E-05,1.00E-12,2.42E-05,0.00E+00,0.00E+00
flx=yes,2.00E-07,3.50E+11,5.21E+04,1.02E-05,2.02E-12,5.06E-05,0.00E+00,0.00E+00,,,2.00E-07,3.49E+11,5.21E+04,1.02E-05,2.02E-12,4.83E-05,0.00E+00,0.00E+00
xsc=2,3.00E-07,3.53E+11,8.72E+04,1.03E-05,3.04E-12,7.60E-05,0.00E+00,0.00E+00,,,3.00E-07,3.52E+11,8.72E+04,1.03E-05,3.04E-12,7.25E-05,0.00E+00,0.00E+00
,4.00E-07,3.56E+11,1.23E+05,1.04E-05,4.08E-12,1.01E-04,0.00E+00,0.00E+00,,,4.00E-07,3.56E+11,1.23E+05,1.04E-05,4.07E-12,9.66E-05,0.00E+00,0.00E+00
,5.00E-07,3.59E+11,1.58E+05,1.05E-05,5.12E-12,1.27E-04,0.00E+00,0.00E+00,,,5.00E-07,3.59E+11,1.58E+05,1.05E-05,5.12E-12,1.21E-04,0.00E+00,0.00E+00
,6.00E-07,3.63E+11,1.95E+05,1.06E-05,6.17E-12,1.52E-04,0.00E+00,0.00E+00,,,6.00E-07,3.62E+11,1.94E+05,1.06E-05,6.17E-12,1.45E-04,0.00E+00,0.00E+00
,7.00E-07,3.66E+11,2.31E+05,1.07E-05,7.23E-12,1.77E-04,0.00E+00,0.00E+00,,,7.00E-07,3.65E+11,2.31E+05,1.06E-05,7.23E-12,1.69E-04,0.00E+00,0.00E+00
,8.00E-07,3.69E+11,2.68E+05,1.08E-05,8.31E-12,2.03E-04,0.00E+00,0.00E+00,,,8.00E-07,3.68E+11,2.67E+05,1.07E-05,8.30E-12,1.93E-04,0.00E+00,0.00E+00
,9.00E-07,3.73E+11,3.05E+05,1.09E-05,9.39E-12,2.28E-04,0.00E+00,0.00E+00,,,9.00E-07,3.72E+11,3.04E+05,1.08E-05,9.38E-12,2.17E-04,0.00E+00,0.00E+00
,1.00E-06,3.76E+11,3.42E+05,1.10E-05,1.05E-11,2.53E-04,0.00E+00,0.00E+00,,,1.00E-06,3.75E+11,3.42E+05,1.09E-05,1.05E-11,2.42E-04,0.00E+00,0.00E+00
,1.10E-06,3.79E+11,3.80E+05,1.11E-05,1.16E-11,2.83E-04,0.00E+00,0.00E+00,,,1.10E-06,3.78E+11,3.79E+05,1.10E-05,1.16E-11,2.68E-04,0.00E+00,0.00E+00
,1.20E-06,3.82E+11,4.18E+05,1.11E-05,1.27E-11,3.14E-04,0.00E+00,0.00E+00,,,1.20E-06,3.81E+11,4.17E+05,1.11E-05,1.27E-11,2.94E-04,0.00E+00,0.00E+00
,1.30E-06,3.86E+11,4.56E+05,1.12E-05,1.38E-11,3.45E-04,0.00E+00,0.00E+00,,,1.30E-06,3.84E+11,4.56E+05,1.12E-05,1.38E-11,3.21E-04,0.00E+00,0.00E+00
,1.40E-06,3.89E+11,4.95E+05,1.13E-05,1.49E-11,3.78E-04,0.00E+00,0.00E+00,,,1.40E-06,3.87E+11,4.94E+05,1.13E-05,1.49E-11,3.49E-04,0.00E+00,0.00E+00
,1.50E-06,3.92E+11,5.34E+05,1.14E-05,1.61E-11,4.11E-04,0.00E+00,0.00E+00,,,1.50E-06,3.91E+11,5.33E+05,1.14E-05,1.60E-11,3.76E-04,0.00E+00,0.00E+00
,1.60E-06,3.96E+11,5.74E+05,1.15E-05,1.72E-11,4.45E-04,0.00E+00,0.00E+00,,,1.60E-06,3.94E+11,5.72E+05,1.15E-05,1.72E-11,4.04E-04,0.00E+00,0.00E+00
,1.70E-06,3.99E+11,6.13E+05,1.16E-05,1.84E-11,4.80E-04,0.00E+00,0.00E+00,,,1.70E-06,3.97E+11,6.12E+05,1.16E-05,1.83E-11,4.33E-04,0.00E+00,0.00E+00
,1.80E-06,4.02E+11,6.53E+05,1.17E-05,1.96E-11,5.16E-04,0.00E+00,0.00E+00,,,1.80E-06,4.00E+11,6.52E+05,1.17E-05,1.95E-11,4.61E-04,0.00E+00,0.00E+00
,1.90E-06,4.05E+11,6.94E+05,1.18E-05,2.07E-11,5.53E-04,0.00E+00,0.00E+00,,,1.90E-06,4.03E+11,6.92E+05,1.18E-05,2.07E-11,4.91E-04,0.00E+00,0.00E+00
,2.00E-06,4.09E+11,7.34E+05,1.19E-05,2.19E-11,5.90E-04,0.00E+00,0.00E+00,,,2.00E-06,4.07E+11,7.32E+05,1.19E-05,2.19E-11,5.20E-04,0.00E+00,0.00E+00
,2.10E-06,4.12E+11,7.75E+05,1.20E-05,2.31E-11,6.27E-04,0.00E+00,0.00E+00,,,2.10E-06,4.10E+11,7.73E+05,1.19E-05,2.30E-11,5.50E-04,0.00E+00,0.00E+00
,2.20E-06,4.15E+11,8.17E+05,1.21E-05,2.43E-11,6.65E-04,0.00E+00,0.00E+00,,,2.20E-06,4.13E+11,8.14E+05,1.20E-05,2.42E-11,5.79E-04,0.00E+00,0.00E+00
